feature,importance
平均绩点GPA,0.5525803553573525
每周自主学习时长,0.10899034243558996
本学期旷课次数,0.06667656885790571
年龄,0.04001941841215122
父母最高教育水平_初中,0.014579492029391104
父母学业支持程度_低,0.013587955466700566
是否参加志愿服务_是,0.01345127123943617
学生背景类别_城市,0.01314660623803357
父母学业支持程度_高,0.012950240788982026
是否参加体育活动_否,0.012711482247592087
父母最高教育水平_小学,0.011779952179735409
学生背景类别_农村,0.011757167295664001
是否参加体育活动_是,0.01072279467411166
父母最高教育水平_高中,0.01071624179747666
是否参加志愿服务_否,0.010561882779536657
性别_男,0.010012984319048922
是否参加课外活动_否,0.009668943728424993
学生背景类别_城镇,0.00960770680416682
是否参加音乐活动_是,0.009362807701723968
是否参加课外辅导_是,0.008745229207076446
是否参加课外辅导_否,0.008517677135353806
是否参加课外活动_是,0.008513826753265046
父母学业支持程度_中,0.008137771262651491
是否参加音乐活动_否,0.007971087240293023
性别_女,0.00601757374377291
父母最高教育水平_大学,0.004756059680674229
父母最高教育水平_研究生,0.004456560623889273
